architecture,seed,forgotten_domain,method,base_method,original_retained_validation_log_loss,method_retained_validation_log_loss,retrained_retained_validation_log_loss,is_identity_map,is_near_identity,ssd_selection_status,ssd_structural_noop,ssd_batch_ratio_upper_bound,original_retained_macro_f1,method_retained_macro_f1,retrained_retained_macro_f1,original_retained_macro_roc_auc,method_retained_macro_roc_auc,retrained_retained_macro_roc_auc,original_forgotten_f1,method_forgotten_f1,retrained_forgotten_f1,original_forgotten_roc_auc,method_forgotten_roc_auc,retrained_forgotten_roc_auc,original_mia_auc,method_mia_auc,retrained_mia_auc,method_abs_mia_auc_gap_from_retrained,method_forgotten_prediction_agreement_with_retrained,method_forgotten_js_divergence_from_retrained,method_forgotten_linear_cka_to_retrained,method_retained_macro_linear_cka_to_retrained,method_forgotten_abs_f1_gap_from_retrained,online_seconds,full_retraining_optimization_seconds,online_speedup_vs_retraining_optimization,selected_parameter_fraction,fisher_cosine_similarity,parameter_change_l2
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=3,ssd_canonical,0.0856464302797391,0.8994618393927533,0.17822581474774482,False,False,weights_changed,False,9.21701388888889,0.8683515734604783,0.030913332852046,0.8758548090021264,0.9168649034028912,0.3175399430644494,0.8838824924340091,0.6761485917469823,0.5769549027720314,0.16889248617293942,0.7366612177632731,0.7081139978813427,0.6755119334851238,0.7812625208364316,0.40321249301774986,0.509675548174597,0.10646305515684718,0.593972037588815,0.10353658582514084,0.3548059912690569,0.4191146552662304,0.40806241659909204,1.2366051840001546,87.41104161499993,70.68629724828082,0.8410615511356949,0.9791009644861419,15.838060917722961
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=5,ssd_canonical,0.0856464302797391,0.3423887515834179,0.17822581474774482,False,False,weights_changed,False,9.21701388888889,0.8683515734604783,0.3772651318136009,0.8758548090021264,0.9168649034028912,0.6011026016604514,0.8838824924340091,0.6761485917469823,0.009843400447427294,0.16889248617293942,0.7366612177632731,0.4393593536941818,0.6755119334851238,0.7812625208364316,0.5076846054919032,0.509675548174597,0.0019909426826938414,0.9041943616777447,0.04616207880645263,0.4218329028203998,0.4845267072759903,0.15904908572551213,1.2377504250000584,87.41104161499993,70.62089404250926,0.5467223726020949,0.9791009644861419,13.370103611687778
mlp,42,NF-ToN-IoT,dc_ssd_no_contrast,dc_ssd_no_contrast,0.0856464302797391,0.32999960032237186,0.17822581474774482,False,False,weights_changed,False,,0.8683515734604783,0.6869205524727886,0.8758548090021264,0.9168649034028912,0.8645954999842683,0.8838824924340091,0.6761485917469823,0.5570937857812012,0.16889248617293942,0.7366612177632731,0.6417913972511591,0.6755119334851238,0.7812625208364316,0.6106209775397043,0.509675548174597,0.10094542936510731,0.6009626403850562,0.1063516371340679,0.6051501519445354,0.604735493936358,0.3882012996082618,0.02665886199997658,87.41104161499993,3278.8737049269666,0.5081205131222785,0.9756814706855058,9.773594634732625
mlp,42,NF-ToN-IoT,dc_ssd_no_class_balance,dc_ssd_no_class_balance,0.0856464302797391,0.6722792642421762,0.17822581474774482,False,False,weights_changed,False,,0.8683515734604783,0.3612173995753218,0.8758548090021264,0.9168649034028912,0.40387296819512275,0.8838824924340091,0.6761485917469823,0.8823282496152232,0.16889248617293942,0.7366612177632731,0.7409025720743667,0.6755119334851238,0.7812625208364316,0.35470317090946,0.509675548174597,0.15497237726513702,0.17086866834746733,0.11550298297679079,0.2532360326452269,0.3757303244832512,0.7134357634422838,0.02604132699980255,87.41104161499993,3356.627779208897,0.9368012239613981,0.6117093178449202,18.757533295440496
mlp,42,NF-ToN-IoT,dc_ssd,dc_ssd,0.0856464302797391,0.32253831604372296,0.17822581474774482,False,False,weights_changed,False,,0.8683515734604783,0.6283528876163637,0.8758548090021264,0.9168649034028912,0.8294780616925458,0.8838824924340091,0.6761485917469823,0.5493427915710412,0.16889248617293942,0.7366612177632731,0.6334430295433314,0.6755119334851238,0.7812625208364316,0.4786270848842513,0.509675548174597,0.031048463290345718,0.5983268393307357,0.12520710957197756,0.4742709358319217,0.6609150049869219,0.38045030539810176,0.025861690000056115,87.41104161499993,3379.9431365394244,0.6015652583264681,0.34053591448772125,13.603055899871231
mlp,42,NF-ToN-IoT,scrub_r,scrub_r,0.0856464302797391,0.2348651405760909,0.17822581474774482,False,False,,,,0.8683515734604783,0.8481588094029026,0.8758548090021264,0.9168649034028912,0.8026051075289834,0.8838824924340091,0.6761485917469823,0.18360398114195914,0.16889248617293942,0.7366612177632731,0.48128414584555124,0.6755119334851238,0.7812625208364316,0.6194213771978426,0.509675548174597,0.10974582902324559,0.87497134998854,0.03249900175871129,0.6629124111559886,0.8086670642866238,0.014711494969019717,45.05533120900009,87.41104161499993,1.9400821005958786,,,51.48968124580006
mlp,42,NF-ToN-IoT,scrub_r@lr=0.001,scrub_r,0.0856464302797391,0.24151246211504632,0.17822581474774482,False,False,,,,0.8683515734604783,0.8576969474984998,0.8758548090021264,0.9168649034028912,0.7737468543629218,0.8838824924340091,0.6761485917469823,0.11063946323428728,0.16889248617293942,0.7366612177632731,0.5530051382378711,0.6755119334851238,0.7812625208364316,0.5940287072195507,0.509675548174597,0.08435315904495366,0.9126747650699061,0.021944311937359833,0.5776554129238946,0.7176643746780865,0.058253022938652144,44.899870269000075,87.41104161499993,1.9467994248382174,,,105.0828511518012
mlp,42,NF-BoT-IoT,rollback_repair,rollback_repair,0.14506176319089684,1.9173256883574432,0.2045060954323878,False,False,,,,0.7625613103425074,0.0,0.673987862982941,0.8323847313099882,0.7231472951216067,0.8290574041321054,0.9935193811008951,0.0,0.02535166494476675,0.9901017340419822,0.3545782555788193,0.3459717972119325,0.8387461972292334,0.17867280023878962,0.40035334235572184,0.22168054211693222,0.9867320681891283,0.05522441183451489,0.9352684679762494,0.44489533835232326,0.02535166494476675,1.7087770279999859,69.46708877799983,40.653103149043744,,,19.905199872079205
mlp,42,NF-BoT-IoT,ssd_canonical,ssd_canonical,0.14506176319089684,0.14506176319089684,0.2045060954323878,True,True,no_parameters_selected,True,3.3901660280970627,0.7625613103425074,0.7625613103425074,0.673987862982941,0.8323847313099882,0.8323847313099882,0.8290574041321054,0.9935193811008951,0.9935193811008951,0.02535166494476675,0.9901017340419822,0.9901017340419822,0.3459717972119325,0.8387461972292334,0.8387461972292334,0.40035334235572184,0.43839285487351154,0.02621421678996462,0.49394408262985434,0.9099616197033975,0.9105341666834917,0.9681677161561284,3.269098326999938,69.46708877799983,21.249617426389865,0.0,0.7732153944831002,0.0
mlp,42,NF-BoT-IoT,ssd_canonical@alpha=1,ssd_canonical,0.14506176319089684,0.14825650116814912,0.2045060954323878,False,False,weights_changed,False,3.3901660280970627,0.7625613103425074,0.7626686166879594,0.673987862982941,0.8323847313099882,0.8311723818639795,0.8290574041321054,0.9935193811008951,0.9934582278481012,0.02535166494476675,0.9901017340419822,0.9898087006316993,0.3459717972119325,0.8387461972292334,0.8332102924886907,0.40035334235572184,0.4328569501329689,0.026334834351881633,0.49390688710189223,0.9108964493609589,0.908100253572739,0.9681065629033345,3.1719581249999464,69.46708877799983,21.90038015650065,0.022537366129222077,0.7732153944831002,0.5554164539963474
