architecture,seed,forgotten_domain,model,evaluation_domain,evaluation_scope,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,roc_auc,average_precision,log_loss,true_negative,false_positive,false_negative,true_positive,samples,attack_rate
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=3,NF-CSE-CIC-IDS2018,retained,0.14130109777455044,0.5,0.14130109777455044,1.0,0.2476140574123283,0.3701413461303068,0.1056364284248001,0.7464109057016208,0.0,20103.0,0.0,3308.0,23411.0,0.14130109777455044
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=3,RETAINED_MACRO,retained_macro,0.4056875744494631,0.5001376131007672,0.4054528347849438,1.0,0.46300846870439955,0.6788301340324049,0.6546806080090263,0.6808531280185245,16.0,39501.0,0.0,29748.0,69265.0,0.4294809788493467
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=5,NF-UNSW-NB15,retained,0.8127919168811362,0.8909281587547284,0.2878787878787879,0.9831670822942643,0.4453544196554646,0.96429503056272,0.7569921379325483,0.5291650229639826,15477.0,3901.0,27.0,1577.0,20982.0,0.07644647793346677
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=5,NF-ToN-IoT,forgotten,0.5601650240660097,0.5064374191270112,0.7485511310525332,0.6162844389718332,0.6760087793347965,0.5482731340337015,0.7317316908792321,0.7029117144253899,884.0,1345.0,2493.0,4004.0,8726.0,0.7445564978225991
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=5,NF-BoT-IoT,retained,0.7334753940173689,0.519825611567438,0.9986306622117544,0.7340956675793203,0.8461699115865686,0.5415570587498434,0.9983539223905717,0.5307829926762092,11.0,25.0,6604.0,18232.0,24872.0,0.9985525892569959
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=5,NF-CSE-CIC-IDS2018,retained,0.5102729486138995,0.6845371187236999,0.2146505282306024,0.9274486094316807,0.34861655587750695,0.8347756334201716,0.6328362093938527,0.8484718545833485,8878.0,11225.0,240.0,3068.0,23411.0,0.14130109777455044
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=5,RETAINED_MACRO,retained_macro,0.6855134198374682,0.6984302963486222,0.5003866594403815,0.8815704531017552,0.5467136290398468,0.7802092409109117,0.7960607565723242,0.6361399567411801,24366.0,15151.0,6871.0,22877.0,69265.0,0.4294809788493467
numerical_feature_transformer,2026,NF-ToN-IoT,dc_ssd_no_contrast,NF-UNSW-NB15,retained,0.989848441521304,0.9353190007229835,0.9957234497505346,0.8709476309226932,0.9291652810109744,0.9994680575885089,0.9926736427880645,0.028628601299396265,19372.0,6.0,207.0,1397.0,20982.0,0.07644647793346677
numerical_feature_transformer,2026,NF-ToN-IoT,dc_ssd_no_contrast,NF-ToN-IoT,forgotten,0.4691725876690351,0.3716536734730658,0.6678667866786678,0.5710327843620132,0.6156654497178892,0.3983997376571565,0.7162257226535027,1.3612354356162188,384.0,1845.0,2787.0,3710.0,8726.0,0.7445564978225991
numerical_feature_transformer,2026,NF-ToN-IoT,dc_ssd_no_contrast,NF-BoT-IoT,retained,0.4913959472499196,0.27379162863943024,0.99722539578913,0.4920277017233049,0.6589377190617417,0.13907790662300246,0.9941782663938753,0.7193299465511883,2.0,34.0,12616.0,12220.0,24872.0,0.9985525892569959
numerical_feature_transformer,2026,NF-ToN-IoT,dc_ssd_no_contrast,NF-CSE-CIC-IDS2018,retained,0.20567254709324675,0.23883728694442485,0.054908582741353205,0.2850665054413543,0.09208085147934772,0.19116180599778132,0.08419159970894871,1.6339011934497967,3872.0,16231.0,2365.0,943.0,23411.0,0.14130109777455044
numerical_feature_transformer,2026,NF-ToN-IoT,dc_ssd_no_contrast,RETAINED_MACRO,retained_macro,0.5623056452881569,0.48264930543561285,0.6826191427603393,0.5493472793624509,0.5600612838506879,0.44323592340309753,0.6903478362969628,0.7939532471001272,23246.0,16271.0,15188.0,14560.0,69265.0,0.4294809788493467
numerical_feature_transformer,2026,NF-ToN-IoT,dc_ssd_no_class_balance,NF-UNSW-NB15,retained,0.9235535220665332,0.5,0.0,0.0,0.0,0.6655713867102293,0.16784693506120074,0.46077636832153157,19378.0,0.0,1604.0,0.0,20982.0,0.07644647793346677
numerical_feature_transformer,2026,NF-ToN-IoT,dc_ssd_no_class_balance,NF-ToN-IoT,forgotten,0.25544350217740086,0.5,0.0,0.0,0.0,0.45254423600139015,0.6712295654513065,0.9095937248126064,2229.0,0.0,6497.0,0.0,8726.0,0.7445564978225991
