architecture,seed,forgotten_domain,candidate_model,evaluation_domain,evaluation_scope,prediction_agreement,mean_abs_attack_probability_gap,root_mean_square_probability_gap,mean_jensen_shannon_divergence,linear_cka_to_retrained,f1_gap_to_retrained,roc_auc_gap_to_retrained,log_loss_gap_to_retrained
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=3,NF-BoT-IoT,forgotten,0.0316420070762303,0.9264055493530072,0.9405907759571936,0.5860162156849521,0.5207977111876592,0.9529738008668928,0.9640944596553389,-3.5066312249994835
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=3,NF-CSE-CIC-IDS2018,retained,0.9833411644098928,0.043865906227490155,0.09094797967137094,0.00889590895459753,0.751772843209807,0.04084223570288892,0.007214470326668887,-0.02890485618953481
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=5,NF-UNSW-NB15,retained,0.9995710609093509,0.0019090469018323063,0.01900707681975454,0.00041050956732918416,0.9546432311134514,-0.0009270903543504572,-4.073056084119564e-05,0.000873646205876316
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=5,NF-ToN-IoT,retained,0.6619298647719459,0.22165348103380558,0.3125346457295828,0.056641337369967196,0.5357872394555224,-0.25523388307339745,-0.10317762009494258,0.2924346872101787
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=5,NF-BoT-IoT,forgotten,0.0316420070762303,0.9264055493530072,0.9405907759571936,0.5860162156849521,0.5207977111876592,0.9529738008668928,0.9640944596553389,-3.5066312249994835
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=5,NF-CSE-CIC-IDS2018,retained,0.9833411644098928,0.043865906227490155,0.09094797967137094,0.00889590895459753,0.751772843209807,0.04084223570288892,0.007214470326668887,-0.02890485618953481
numerical_feature_transformer,42,NF-BoT-IoT,dc_ssd_no_contrast,NF-UNSW-NB15,retained,0.6198646458869507,0.3677488702545189,0.46047349016788075,0.1695344165170654,0.3945114350488424,-0.7095990857707675,-0.018732583341934395,0.6248294656976076
numerical_feature_transformer,42,NF-BoT-IoT,dc_ssd_no_contrast,NF-ToN-IoT,retained,0.7508595003438001,0.3420312719923445,0.46195220887141764,0.15677689992253216,0.40521496614108293,-0.05331755879562072,-0.41974271453443024,0.6820233341321984
numerical_feature_transformer,42,NF-BoT-IoT,dc_ssd_no_contrast,NF-BoT-IoT,forgotten,0.021912190414924412,0.9243854422383171,0.934034683695697,0.5645381227857226,0.6751814441828315,0.9576698448072712,0.43653701615933865,-3.5122611995805655
numerical_feature_transformer,42,NF-BoT-IoT,dc_ssd_no_contrast,NF-CSE-CIC-IDS2018,retained,0.15150997394387253,0.7514789631160329,0.8088778903763836,0.4229827787260888,0.44417165220273264,-0.5513197626538844,-0.5935839660933617,2.9296195394223563
numerical_feature_transformer,42,NF-BoT-IoT,dc_ssd_no_class_balance,NF-UNSW-NB15,retained,0.9995710609093509,0.0018903863843999366,0.0189553329833188,0.0004078825864085681,0.9544528682701421,-0.0009270903543504572,-4.098794195250832e-05,0.000852744604485678
numerical_feature_transformer,42,NF-BoT-IoT,dc_ssd_no_class_balance,NF-ToN-IoT,retained,0.6513866605546642,0.22579454221477124,0.31433729085944884,0.05758386627137803,0.5314646475549119,-0.26176844069342975,-0.11083087455969787,0.29813833404768325
numerical_feature_transformer,42,NF-BoT-IoT,dc_ssd_no_class_balance,NF-BoT-IoT,forgotten,0.0335316822129302,0.8987103344734639,0.9140865056715637,0.5395013257683623,0.5912432706940824,0.9520194916909385,0.9265224315957122,-3.4747637582482183
numerical_feature_transformer,42,NF-BoT-IoT,dc_ssd_no_class_balance,NF-CSE-CIC-IDS2018,retained,0.9832984494468412,0.043457121679324064,0.09059709413059043,0.008758148444000479,0.748210675173747,0.04072147416625671,0.007557331255521382,-0.02907295519300504
numerical_feature_transformer,42,NF-BoT-IoT,dc_ssd,NF-UNSW-NB15,retained,0.9791726241540368,0.11929714055953905,0.17155766089157118,0.04558969073549552,0.6827492579393846,-0.1276835444112535,-0.01358899878490405,0.1681825026567634
numerical_feature_transformer,42,NF-BoT-IoT,dc_ssd,NF-ToN-IoT,retained,0.7502865001146001,0.3409981999761421,0.4618485467752895,0.1552817242679354,0.48622943451009926,-0.05331920838846882,-0.38544794080685896,0.6574574019420767
numerical_feature_transformer,42,NF-BoT-IoT,dc_ssd,NF-BoT-IoT,forgotten,0.022676101640398842,0.9173730028269236,0.9261015319216457,0.5525116616218579,0.8774503245666776,0.9572065931764268,0.5212315008679157,-3.5043839051197936
numerical_feature_transformer,42,NF-BoT-IoT,dc_ssd,NF-CSE-CIC-IDS2018,retained,0.13502199820597155,0.7911768331704293,0.8414160122269814,0.4625803285244536,0.32449657996699854,-0.6057752902569147,-0.6076879929908734,3.4078448674883615
numerical_feature_transformer,42,NF-BoT-IoT,scrub_r,NF-UNSW-NB15,retained,0.9989514822228577,0.004873736358294403,0.030157062250791313,0.0013233570428316703,0.8702267624913967,-0.0043953469475795925,-4.163139473034594e-05,0.00298769745524948
numerical_feature_transformer,42,NF-BoT-IoT,scrub_r,NF-ToN-IoT,retained,0.831308732523493,0.16998054932284173,0.22485892161866597,0.0325581518977833,0.6058527574516989,-0.0809812055402398,-0.06391050623288674,0.13495524998637548
numerical_feature_transformer,42,NF-BoT-IoT,scrub_r,NF-BoT-IoT,forgotten,0.9799774847217755,0.10686527423047015,0.13536091724239369,0.025234705549220755,0.3391742769681924,-0.021291247341520998,0.061446421860739814,-1.538613093395022
numerical_feature_transformer,42,NF-BoT-IoT,scrub_r,NF-CSE-CIC-IDS2018,retained,0.951603946862586,0.07292388635956122,0.14119553046180874,0.017237785217419078,0.5927488460745314,-0.07823209375215612,-0.013159608608171114,0.05836590291827126
numerical_feature_transformer,42,NF-BoT-IoT,scrub_r@lr=0.001,NF-UNSW-NB15,retained,0.9890858831379278,0.014515336020105813,0.08686642206789552,0.005936804679524632,0.6804677251282298,-0.0763244327745688,-0.002125453215964357,0.030466599670205798
numerical_feature_transformer,42,NF-BoT-IoT,scrub_r@lr=0.001,NF-ToN-IoT,retained,0.8132019252807701,0.20119689471712218,0.2663849346614969,0.04625578125703582,0.38218825207958473,-0.06312760608610923,-0.08297869886871212,0.14953152024377342
numerical_feature_transformer,42,NF-BoT-IoT,scrub_r@lr=0.001,NF-BoT-IoT,forgotten,0.9790527500804117,0.057904132731327274,0.11462983489346887,0.014729482333211093,0.5170786256918041,-0.024844811477425958,0.03695911848392121,0.016946989799033307
numerical_feature_transformer,42,NF-BoT-IoT,scrub_r@lr=0.001,NF-CSE-CIC-IDS2018,retained,0.9263594036991158,0.11010860741017194,0.2002363207764496,0.03222449655849859,0.49840406078168825,-0.27494620827030236,-0.12169765249473063,0.15212049444437095
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,original,NF-UNSW-NB15,retained,0.9994280812124678,0.0018501572448897706,0.020988592488731483,0.0004893331966746493,0.9745636684094517,-0.0012402720897942698,-8.049594251546832e-05,0.0017847791287098663
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,original,NF-ToN-IoT,retained,0.6492092596837039,0.20842185954402104,0.2680238117465318,0.04138788392329097,0.5721916221540568,-0.2752216648451802,-0.1570127303812029,0.31897058634806
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,original,NF-BoT-IoT,retained,0.9938082984882599,0.008981646031450083,0.047090729666123834,0.0022659341165295497,0.5318345849422818,-0.0021104853478245422,0.0030891537374062583,0.0071172911140552735
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,original,NF-CSE-CIC-IDS2018,forgotten,0.5771218657895861,0.34428289372527815,0.499086019223775,0.16371922634186406,0.39714429907648624,0.5497111892924755,0.20921557936722612,-0.8795658754040502
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,rollback_repair,NF-UNSW-NB15,retained,0.07625583833762273,0.7621178093257438,0.7803557084895582,0.4026030234279207,0.015374717725905932,-0.8548440125040724,-0.36003142237295616,1.5499781130734782
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,rollback_repair,NF-ToN-IoT,retained,0.7502865001146001,0.22940917496972785,0.3350334916926862,0.06604327544375678,0.2433728773944403,-0.07328610094116894,-0.036442847314766436,0.1548036104711445
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,rollback_repair,NF-BoT-IoT,retained,0.9936474750723705,0.2041751652644291,0.20752930230785993,0.07192721493565452,0.5142367625973295,0.002585558592553938,-0.7857662935523702,0.21545239965498902
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,rollback_repair,NF-CSE-CIC-IDS2018,forgotten,0.49318696339327667,0.4261738293049645,0.5347673441035515,0.18893794732059005,0.4701940728222689,-0.0428127636459725,0.14676907878476642,0.36403194818740103
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical,NF-UNSW-NB15,retained,0.9994280812124678,0.0018501572448897706,0.020988592488731483,0.0004893331966746493,0.9745636684094517,-0.0012402720897942698,-8.049594251546832e-05,0.0017847791287098663
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical,NF-ToN-IoT,retained,0.6492092596837039,0.20842185954402104,0.2680238117465318,0.04138788392329097,0.5721916221540568,-0.2752216648451802,-0.1570127303812029,0.31897058634806
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical,NF-BoT-IoT,retained,0.9938082984882599,0.008981646031450083,0.047090729666123834,0.0022659341165295497,0.5318345849422818,-0.0021104853478245422,0.0030891537374062583,0.0071172911140552735
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical,NF-CSE-CIC-IDS2018,forgotten,0.5771218657895861,0.34428289372527815,0.499086019223775,0.16371922634186406,0.39714429907648624,0.5497111892924755,0.20921557936722612,-0.8795658754040502
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=1,NF-UNSW-NB15,retained,0.9565341721475551,0.15084993812720696,0.1897635508396847,0.05673259377150685,0.6139287161838383,-0.39032152432410305,-0.002238926113347084,0.1773595016611455
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=1,NF-ToN-IoT,retained,0.21900068760027505,0.49597994791385974,0.5377084484342557,0.1675253392679881,0.3679398341471349,-0.8485289025895867,-0.562113769871217,1.178554128006011
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=1,NF-BoT-IoT,retained,0.9865310389192666,0.02575849702163631,0.07835102985291319,0.007713970807777799,0.5152328718045603,-0.005968081042515783,-0.07142633453230962,0.03162256682954066
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=1,NF-CSE-CIC-IDS2018,forgotten,0.544829353722609,0.4187817734342951,0.49560843530677207,0.16691332371881912,0.5784350656657813,0.022754997123517362,0.1155741477340908,-0.6830192482533857
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=2,NF-UNSW-NB15,retained,0.9889429034410447,0.09421452609374781,0.12294040221826213,0.03383292903256948,0.8128308938808997,-0.07602041713451746,-0.014666380029902615,0.10513694264910595
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=2,NF-ToN-IoT,retained,0.33738253495301396,0.4256664443981423,0.4925319422687042,0.14365083286837182,0.3452230712492014,-0.7386825211283927,-0.43034397695923843,1.2170485992359998
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=2,NF-BoT-IoT,retained,0.9889433901576069,0.01228934099332278,0.06700070869301468,0.0038026976347561316,0.5739754779084764,-0.004460393076140545,0.0014651670514129744,0.013902895998442959
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=2,NF-CSE-CIC-IDS2018,forgotten,0.5921575327837342,0.32512670781001984,0.45339861268300663,0.13035174797350288,0.5453609546555652,0.4309400584009557,0.16423411420302725,-0.7962341619632844
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=3,NF-UNSW-NB15,retained,0.9994280812124678,0.0017283618421553308,0.021063683400373276,0.0004620414835478009,0.9754202822535829,-0.0012402720897942698,-8.316627154381084e-05,0.0016829588919210852
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=3,NF-ToN-IoT,retained,0.6415310566124226,0.2113852522562866,0.27045467680987617,0.0421291080333005,0.5714444174677851,-0.28477354211507566,-0.15703165066418123,0.3264051985885508
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=3,NF-BoT-IoT,retained,0.9938082984882599,0.008945509601195653,0.04706192910411427,0.0022557846951571474,0.5321063993709382,-0.0021104853478245422,0.0030567187416117303,0.00691735560573652
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=3,NF-CSE-CIC-IDS2018,forgotten,0.5773354406048439,0.34327275079751335,0.4973856384430705,0.16211762755944442,0.4132964179670595,0.5505574932315251,0.21037434118762377,-0.8785222434154027
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=5,NF-UNSW-NB15,retained,0.9994280812124678,0.0018501572448897706,0.020988592488731483,0.0004893331966746493,0.9745636684094517,-0.0012402720897942698,-8.049594251546832e-05,0.0017847791287098663
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=5,NF-ToN-IoT,retained,0.6492092596837039,0.20842185954402104,0.2680238117465318,0.04138788392329097,0.5721916221540568,-0.2752216648451802,-0.1570127303812029,0.31897058634806
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=5,NF-BoT-IoT,retained,0.9938082984882599,0.008981646031450083,0.047090729666123834,0.0022659341165295497,0.5318345849422818,-0.0021104853478245422,0.0030891537374062583,0.0071172911140552735
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=5,NF-CSE-CIC-IDS2018,forgotten,0.5771218657895861,0.34428289372527815,0.499086019223775,0.16371922634186406,0.39714429907648624,0.5497111892924755,0.20921557936722612,-0.8795658754040502
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,dc_ssd_no_contrast,NF-UNSW-NB15,retained,0.9979029644457154,0.028936437975068098,0.045470526101417115,0.009371356165737397,0.9194454202183918,-0.010715379360704769,-7.81795125152085e-05,0.029795566943320535
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,dc_ssd_no_contrast,NF-ToN-IoT,retained,0.4360531744212698,0.3065145092639812,0.3565925455071784,0.07156399805189134,0.44673125545809855,-0.5014190740506748,-0.32123450288993505,0.548534923935279
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,dc_ssd_no_contrast,NF-BoT-IoT,retained,0.9957783853329045,0.022037816476796063,0.054903868870113455,0.00638390468412201,0.5027667019632073,-0.001480122778443227,5.368551028095414e-05,0.019198186193312344
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,dc_ssd_no_contrast,NF-CSE-CIC-IDS2018,forgotten,0.6072786297039853,0.3139893017246253,0.44517225228342794,0.12555622666647503,0.5045857386117242,0.39814854026310315,0.16574278198835846,-0.7995306636499423
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,dc_ssd_no_class_balance,NF-UNSW-NB15,retained,0.9969021065675341,0.02804478977171884,0.047802459479345034,0.009124367993738353,0.919118483269445,-0.018762821449401335,-0.0003588857868745965,0.02883785209169759
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,dc_ssd_no_class_balance,NF-ToN-IoT,retained,0.43891817556727025,0.3231924296219266,0.3974139693671678,0.09039218856213406,0.36230185207099047,-0.5603817015608665,-0.3312820017769874,0.7577522982637943
